model_size,corpus_type,level,seed,bin,n_facts,frac_stored
M,FLAT,30,2,65-128,1425,0.5267734032346492
M,FLAT,30,2,129-256,359,0.5401458315198467
M,FLAT,30,2,>=257,0,
M,FLAT,300,1,1,239648,0.0010410776952029643
M,FLAT,300,1,2,134525,0.0029225570148438953
M,FLAT,300,1,3-4,118278,0.00918280267806566
M,FLAT,300,1,5-8,80937,0.03763717447192724
M,FLAT,300,1,9-16,52251,0.18103468657447944
M,FLAT,300,1,17-32,33365,0.6069789973938821
M,FLAT,300,1,33-64,21285,0.946478903772463
M,FLAT,300,1,65-128,13314,0.9966012852425079
M,FLAT,300,1,129-256,8496,0.9994027520303672
M,FLAT,300,1,>=257,13372,0.999755859375
M,FLAT,300,2,1,239183,0.001127194294287742
M,FLAT,300,2,2,133940,0.0036829909264409436
M,FLAT,300,2,3-4,118343,0.011552078838762116
M,FLAT,300,2,5-8,80933,0.04454599442497961
M,FLAT,300,2,9-16,52146,0.20218749363266117
M,FLAT,300,2,17-32,33360,0.6227174900704436
M,FLAT,300,2,33-64,21267,0.9438476447702132
M,FLAT,300,2,65-128,13409,0.9958778669818312
M,FLAT,300,2,129-256,8451,0.998809225840507
M,FLAT,300,2,>=257,13382,0.999755859375
M,RAW,RAW,1,1,223105,0.0011229286921376706
M,RAW,RAW,1,2,86478,0.0032712043182225536
M,RAW,RAW,1,3-4,65516,0.009616046199592465
M,RAW,RAW,1,5-8,43256,0.03801644750150268
M,RAW,RAW,1,9-16,28153,0.17298784175698415
M,RAW,RAW,1,17-32,18095,0.5517315432655775
M,RAW,RAW,1,33-64,11280,0.8554296182402482
M,RAW,RAW,1,65-128,7208,0.9449556373994173
M,RAW,RAW,1,129-256,4572,0.9853201638369422
M,RAW,RAW,1,>=257,6746,0.9996076233833012
M,RAW,RAW,2,1,222776,0.0012371679540210795
M,RAW,RAW,2,2,85908,0.003736862308370582
M,RAW,RAW,2,3-4,65225,0.011116533962964737
M,RAW,RAW,2,5-8,43414,0.043796952110062425
M,RAW,RAW,2,9-16,28145,0.18586351615240274
M,RAW,RAW,2,17-32,17892,0.5528522152882573
M,RAW,RAW,2,33-64,11468,0.8468957268322724
M,RAW,RAW,2,65-128,7182,0.9366815068269633
M,RAW,RAW,2,129-256,4542,0.9856651504362065
M,RAW,RAW,2,>=257,6756,0.9993118096414298
S,CURATED,100,1,1,86340,2.224807085360206e-05
S,CURATED,100,1,2,113413,6.446597212731342e-05
S,CURATED,100,1,3-4,201241,0.00017326934612914367
S,CURATED,100,1,5-8,198983,0.00041923262799146164
S,CURATED,100,1,9-16,134028,0.0013301572828998418
S,CURATED,100,1,17-32,85053,0.004423537175900615
S,CURATED,100,1,33-64,54064,0.023560979232946137
S,CURATED,100,1,65-128,34293,0.129490790702093
S,CURATED,100,1,129-256,38413,0.6004899858426022
S,CURATED,100,1,>=257,18975,0.7759350425107049
S,CURATED,100,2,1,86181,5.755000286461053e-05
S,CURATED,100,2,2,113334,0.000170562817920924
S,CURATED,100,2,3-4,201007,0.0003031039983215759
S,CURATED,100,2,5-8,199677,0.000301740973782033
S,CURATED,100,2,9-16,133499,0.0010367678462245035
S,CURATED,100,2,17-32,85334,0.00403316970851302
S,CURATED,100,2,33-64,54130,0.023790590577660264
S,CURATED,100,2,65-128,34272,0.13231304891748366
S,CURATED,100,2,129-256,38271,0.6165414150176537
S,CURATED,100,2,>=257,19035,0.7988102328974587
S,CURATED,1000,1,1,226568,3.392159031725576e-05
S,CURATED,1000,1,2,145892,6.430671961108218e-05
